t, x, xd, y, yd
4.449599999999999334e+00,2.384055188902139619e-02,7.424801406505716628e-01,1.333506870782776188e+00,-1.713748015128925897e-02
4.480499999999999261e+00,4.676745387257648379e-02,7.413049638340845071e-01,1.332638604340407040e+00,-3.905230213261582511e-02
4.511399999999999189e+00,6.964352282257363358e-02,7.391904214456392896e-01,1.331094155220311714e+00,-6.089754437093482242e-02
4.542299999999999116e+00,9.243977905542224982e-02,7.361397141488094098e-01,1.328876210912188549e+00,-8.263844089521751868e-02
4.573199999999999932e+00,1.151273581794453743e-01,7.321571023413090407e-01,1.325988530900107154e+00,-1.042403802291532178e-01
4.604099999999999859e+00,1.376775437174395655e-01,7.272478977869497596e-01,1.322435941212772637e+00,-1.256689491015784144e-01
4.634999999999999787e+00,1.600617994342724004e-01,7.214184528912982453e-01,1.318224327626459136e+00,-1.468899759359325874e-01
4.665899999999999714e+00,1.822518012966254930e-01,7.146761476159203541e-01,1.313360627527977886e+00,-1.678695740846346263e-01
4.696799999999999642e+00,2.042194689917978534e-01,7.070293740223529966e-01,1.307852820446059772e+00,-1.885741847760509515e-01
4.727699999999999569e+00,2.259369969321371463e-01,6.984875184329993880e-01,1.301709917260509997e+00,-2.089706197439452073e-01
4.758599999999999497e+00,2.473768846712104397e-01,6.890609411919167426e-01,1.294941948099373352e+00,-2.290261035120587374e-01
4.789499999999999424e+00,2.685119666572297614e-01,6.787609540039035716e-01,1.287559948935149468e+00,-2.487083153097728871e-01
4.820399999999999352e+00,2.893154412485052229e-01,6.675997948253266090e-01,1.279575946891778226e+00,-2.679854305987182106e-01
4.851299999999999280e+00,3.097608989147941916e-01,6.555906002746829664e-01,1.271002944274670421e+00,-2.868261621947683082e-01
4.882199999999999207e+00,3.298223495473357469e-01,6.427473755248915843e-01,1.261854901336459722e+00,-3.051998009751717977e-01
4.913099999999999135e+00,3.494742487990840085e-01,6.290849616326680271e-01,1.252146717791376096e+00,-3.230762561667138710e-01
4.943999999999999062e+00,3.686915233751624776e-01,6.146190002529606788e-01,1.241894213091158550e+00,-3.404260952178658206e-01
4.974899999999999878e+00,3.874495951918298098e-01,5.993658956782152991e-01,1.231114105475215492e+00,-3.572205832660020342e-01
5.005799999999999805e+00,4.057244043202442030e-01,5.833427741330734495e-01,1.219823989807256259e+00,-3.734317222200753683e-01
5.036699999999999733e+00,4.234924306290245299e-01,5.665674402448626079e-01,1.208042314209819557e+00,-3.890322894898411432e-01
5.067599999999999660e+00,4.407307140369530196e-01,5.490583305987922769e-01,1.195788355506993916e+00,-4.039958764049640383e-01
5.098499999999999588e+00,4.574168732841748519e-01,5.308344642739151187e-01,1.183082193484056521e+00,-4.182969263814385052e-01
5.129399999999999515e+00,4.735291231268073386e-01,5.119153902415282120e-01,1.169944683970749022e+00,-4.319107729089330383e-01
5.160299999999999443e+00,4.890462898559755911e-01,4.923211314915296732e-01,1.156397430752350797e+00,-4.448136774513094527e-01
5.191199999999999370e+00,5.039478250378593982e-01,4.720721257341027322e-01,1.142462756309531535e+00,-4.569828673740756186e-01
5.222099999999999298e+00,5.182138173663113356e-01,4.511891625037083298e-01,1.128163671384081468e+00,-4.683965740373993158e-01
5.252999999999999226e+00,5.318250025139135140e-01,4.296933164694349272e-01,1.113523843362892451e+00,-4.790340712221413111e-01
5.283899999999999153e+00,5.447627708608921981e-01,4.076058767299496344e-01,1.098567563466891217e+00,-4.888757140898877807e-01
5.314799999999999081e+00,5.570091729740203057e-01,3.849482718422447824e-01,1.083319712724820638e+00,-4.979029789170534848e-01
5.345699999999999896e+00,5.685469226993903336e-01,3.617419903006577342e-01,1.067805726703662250e+00,-5.060985038888732301e-01
5.376599999999999824e+00,5.793593977236205506e-01,3.380084961457948123e-01,1.052051558957857846e+00,-5.134461312928217946e-01
5.407499999999999751e+00,5.894306374475355437e-01,3.137691393414798746e-01,1.036083643148030919e+00,-5.199309515143424321e-01
5.438399999999999679e+00,5.987453380044616136e-01,2.890450605111675175e-01,1.019928853766354004e+00,-5.255393493127248350e-01
5.469299999999999606e+00,6.072888442418690191e-01,2.638570895727446741e-01,1.003614465389590649e+00,-5.302590529440939227e-01
5.500199999999999534e+00,6.150471384699469635e-01,2.382256377517855128e-01,9.871681103617314657e-01,-5.340791868048389013e-01
5.531099999999999461e+00,6.220068257636336417e-01,2.121705823875143504e-01,9.706177347854325621e-01,-5.369903283963418650e-01
5.561999999999999389e+00,6.281551155854152579e-01,1.857111438725489450e-01,9.539915526744129348e-01,-5.389845705654062735e-01
5.592899999999999316e+00,6.334797994746158567e-01,1.588657539867061319e-01,9.373179980867045735e-01,-5.400555901603902864e-01
5.623799999999999244e+00,6.379692245246999516e-01,1.316519147968969738e-01,9.206256750200565442e-01,-5.401987244682722178e-01
5.654699999999999172e+00,6.416122623430713379e-01,1.040860472001791798e-01,9.039433048045089070e-01,-5.394110570720797027e-01
5.685599999999999099e+00,6.443982731578010714e-01,7.618332808708251636e-02,8.872996706714985082e-01,-5.376915151028989204e-01
5.716499999999999027e+00,6.463170647025350268e-01,4.795751500052595345e-02,8.707235591117374884e-01,-5.350409802702735806e-01
5.747399999999999842e+00,6.473588454745409226e-01,1.942075706723341705e-02,8.542436975529564824e-01,-5.314624165565798863e-01
5.778299999999999770e+00,6.475141719216772618e-01,-9.416609108263345601e-03,8.378886877902653740e-01,-5.269610180758432794e-01
5.809199999999999697e+00,6.467738890725357459e-01,-3.854627995988003930e-02,8.216869344824665466e-01,-5.215443813504014869e-01
5.840099999999999625e+00,6.451290640811252475e-01,-6.796222328041860716e-02,8.056665678824977972e-01,-5.152227071790845825e-01
5.870999999999999552e+00,6.425709121148931446e-01,-9.766093569409785291e-02,7.898553597935377146e-01,-5.080090383919140251e-01
5.901899999999999480e+00,6.390907139751994537e-01,-1.276417204808658612e-01,7.742806315274508577e-01,-4.999195411468631556e-01
5.932799999999999407e+00,6.346797248064333097e-01,-1.579069866544342005e-01,7.589691523811028517e-01,-4.909738390660753349e-01
5.963699999999999335e+00,6.293290732293305156e-01,-1.884625696856860877e-01,7.439470268292760480e-01,-4.811954114775019442e-01
5.994599999999999262e+00,6.230296502335069819e-01,-2.193180734578177027e-01,7.292395682496248810e-01,-4.706120693708765734e-01
6.025499999999999190e+00,6.157719871944591361e-01,-2.504872318324230518e-01,7.148711565330108098e-01,-4.592565254431472677e-01
6.056399999999999118e+00,6.075461224557545670e-01,-2.819882864590085303e-01,7.008650763778094817e-01,-4.471670778469029051e-01
6.087299999999999045e+00,5.983414560571478358e-01,-3.138443749962269158e-01,6.872433324040531089e-01,-4.343884310140468386e-01
6.118199999999998973e+00,5.881465924194990702e-01,-3.460839204994843321e-01,6.740264364357612115e-01,-4.209726812520261929e-01
6.149099999999999788e+00,5.769491711514994625e-01,-3.787410080592077399e-01,6.612331613693667176e-01,-4.069804997426234583e-01
6.179999999999999716e+00,5.647356866662388564e-01,-4.118557284321869849e-01,6.488802549534866682e-01,-3.924825511430444225e-01
6.210899999999999643e+00,5.514912980475384918e-01,-4.454744598257796562e-01,6.369821055306139623e-01,-3.775611921957209849e-01
6.241799999999999571e+00,5.371996316675231586e-01,-4.796500473817899013e-01,6.255503503157546774e-01,-3.623125015295951545e-01
6.272699999999999498e+00,5.218425805377223670e-01,-5.144418241674211245e-01,6.145934150956775532e-01,-3.468486989736243586e-01
6.303599999999999426e+00,5.054001064257340747e-01,-5.499153961061051810e-01,6.041159723206278587e-01,-3.313010197228722920e-01
6.334499999999999353e+00,4.878500535922136727e-01,-5.861420842329922998e-01,5.941183024450972239e-01,-3.158231146263520417e-01
6.365399999999999281e+00,4.691679868754115024e-01,-6.231978782604400413e-01,5.845955411145490332e-01,-3.005950508868468485e-01
6.396299999999999208e+00,4.493270721429580838e-01,-6.611617023053083519e-01,5.755367925257626194e-01,-2.858279843725855529e-01
6.427199999999999136e+00,4.282980243283534549e-01,-7.001127227280014020e-01,5.669240872749907734e-01,-2.717695601369340963e-01
6.458099999999999064e+00,4.060491579891669645e-01,-7.401263349871903818e-01,5.587311617312985534e-01,-2.587100628416650894e-01
6.488999999999998991e+00,3.825465883126208388e-01,-7.812683473330928052e-01,5.509220362575730778e-01,-2.469892697465700671e-01
6.519899999999998919e+00,3.577546475905991619e-01,-8.235867324512999854e-01,5.434493728077433028e-01,-2.370038346364209680e-01
6.550799999999999734e+00,3.316366041994094349e-01,-8.671001481328279858e-01,5.362526007149696072e-01,-2.292148203549354835e-01
6.581699999999999662e+00,3.041557985541192832e-01,-9.117822515803429839e-01,5.292558161643148296e-01,-2.241546566336708457e-01
6.612599999999999589e+00,2.752773430086918882e-01,-9.575406902160650269e-01,5.223654907974475403e-01,-2.224322709738186521e-01
6.643499999999999517e+00,2.449705680089260817e-01,-1.004189629110857629e+00,5.154680749608179235e-01,-2.247343562909902837e-01
6.674399999999999444e+00,2.132124291287376128e-01,-1.051414926310120457e+00,5.084276601419871477e-01,-2.318196405759519185e-01
6.705299999999999372e+00,1.799921067787871032e-01,-1.098731851193439635e+00,5.010839831907957231e-01,-2.445016038848968620e-01
6.736199999999999299e+00,1.453170102684469001e-01,-1.145436944284998537e+00,4.932512203486258406e-01,-2.636134838489886389e-01
6.767099999999999227e+00,1.092203047244149627e-01,-1.190558727263669514e+00,4.847182318115610400e-01,-2.899480658348577711e-01
6.797999999999999154e+00,7.176986253570463714e-02,-1.232816912870191350e+00,4.752511561247043659e-01,-3.241646445456028980e-01
6.828899999999999082e+00,3.307814298675753467e-02,-1.270606457783397980e+00,4.645994555356259825e-01,-3.666583801466754555e-01
6.859799999999999010e+00,-6.688112716840853567e-03,-1.302029847722534051e+00,4.525065524698774766e-01,-4.173953783142950735e-01
6.890699999999998937e+00,-4.730027879969989774e-02,-1.325004646533591623e+00,4.387258772951160291e-01,-4.757321428125938501e-01
